,N,Party,Province,Race,chisquare-benford-3d,chisquare-benford-mix,chisquare-mean-sim,chisquare-uniform,lilliefors-type-test
121,1411.0,p_dyp,Bolu,1991,0.453878819778,0.00105081136392,0.631667001601,0.500190750375,0.31
122,1411.0,p_anap,Bolu,1991,0.397030845817,0.000441315019195,0.413368043778,0.4471447178,0.45
123,1411.0,p_rp,Bolu,1991,0.226907296215,7.88094318413e-05,0.294823078686,0.17840518929,0.39
124,1411.0,p_shp,Bolu,1991,1.45809493492e-05,2.49205658703e-18,0.404797732811,2.08198523823e-06,0.43
125,1411.0,p_sp,Bolu,1991,0.0,0.0,2.01858067204e-14,0.0,0.0
126,584.0,p_bgmz,Burdur,1991,0.0,0.0,,0.0,0.0
127,584.0,p_dsp,Burdur,1991,0.147238986197,0.00355322542287,0.406313588613,0.0995537281469,0.18
128,584.0,p_dyp,Burdur,1991,0.507164951187,0.59536540322,0.52783784856,0.442347538662,0.33
129,584.0,p_anap,Burdur,1991,0.311889741421,0.0158253224071,0.220935589105,0.328233184951,0.56
130,584.0,p_rp,Burdur,1991,0.684565948937,8.70175496708e-05,0.561937420659,0.705213612998,0.51
131,584.0,p_shp,Burdur,1991,0.718525890501,0.00342880091251,0.666408983607,0.739918292095,0.68
132,584.0,p_sp,Burdur,1991,1.05683671978e-233,0.0,1.77517484172e-06,1.95856545429e-239,0.0
133,3260.0,p_bgmz,Bursa,1991,0.0,0.0,2.24819114819e-40,0.0,0.0
134,3260.0,p_dsp,Bursa,1991,0.733790094319,8.8215592724e-09,0.673217014288,0.653084177196,0.88
135,3260.0,p_dyp,Bursa,1991,0.588647453113,8.29577433242e-05,0.683278958889,0.646061419751,0.64
136,3260.0,p_anap,Bursa,1991,0.372790481353,2.07294444214e-07,0.449763114398,0.476638849068,0.4
137,3260.0,p_rp,Bursa,1991,0.996888253689,7.48336978227e-12,0.990272153493,0.996536866592,0.98
138,3260.0,p_shp,Bursa,1991,0.73158816423,1.76546166577e-08,0.88194916714,0.495112442234,0.81
139,3260.0,p_sp,Bursa,1991,0.0,0.0,7.24394839233e-51,0.0,0.0
140,1118.0,p_bgmz,Canakkale,1991,0.0,0.0,,0.0,0.0
141,1118.0,p_dsp,Canakkale,1991,0.772316415685,0.00414183769759,0.961105406974,0.649224392906,0.94
142,1118.0,p_dyp,Canakkale,1991,0.642440910272,0.702224630949,0.552721549831,0.513376862426,0.57
143,1118.0,p_anap,Canakkale,1991,0.957319417692,0.458601412072,0.957260272143,0.898997453308,0.86
144,1118.0,p_rp,Canakkale,1991,0.595247878957,6.39264324902e-24,0.139640935967,0.511600532039,0.17
145,1118.0,p_shp,Canakkale,1991,0.555727922463,0.0126025111737,0.647367615447,0.471448111535,0.45
146,1118.0,p_sp,Canakkale,1991,0.0,0.0,2.44080814757e-16,0.0,0.0
147,713.0,p_bgmz,Cankiri,1991,0.0,0.0,,0.0,0.0
148,713.0,p_dsp,Cankiri,1991,1.59262173213e-12,3.59535523998e-31,0.165271262081,1.65707273528e-13,0.0
149,713.0,p_dyp,Cankiri,1991,0.915786623896,0.0123569168261,0.893832025989,0.943675932083,0.77
150,713.0,p_anap,Cankiri,1991,0.670161115922,0.00235807418214,0.831200585318,0.626898434064,0.93
151,713.0,p_rp,Cankiri,1991,0.423772535747,0.143566908325,0.58701018206,0.377106495787,0.53
152,713.0,p_shp,Cankiri,1991,4.65879889548e-23,1.68635901989e-91,0.789664971106,1.49967176333e-24,0.27
153,713.0,p_sp,Cankiri,1991,0.0,0.0,2.26205921718e-09,0.0,0.0
154,1493.0,p_bgmz,Corum,1991,0.0,0.0,3.85182124123e-12,0.0,0.0
155,1493.0,p_dsp,Corum,1991,1.23924483829e-15,4.2615210908e-68,0.493720464051,2.46460737329e-17,0.22
156,1493.0,p_dyp,Corum,1991,0.0366679775877,3.36864852826e-06,0.660241435634,0.0115451841033,0.52
157,1493.0,p_anap,Corum,1991,0.0574310238865,3.30640436542e-06,0.94675252044,0.0189264299114,0.91
158,1493.0,p_rp,Corum,1991,1.05624581345e-05,1.14781568688e-11,0.976311389428,1.27085513293e-06,0.83
159,1493.0,p_shp,Corum,1991,6.34764188214e-05,2.88674881975e-27,0.0813214451295,9.13303975926e-06,0.0
160,1493.0,p_sp,Corum,1991,0.0,0.0,2.88667032724e-11,0.0,0.0
161,1425.0,p_bgmz,Denizli,1991,0.0,0.0,3.09026482409e-06,0.0,0.0
162,1425.0,p_dsp,Denizli,1991,0.583744222087,0.0415633522397,0.569923651825,0.401817109095,0.67
163,1425.0,p_dyp,Denizli,1991,0.878915495695,0.314602281783,0.809615037414,0.867133100992,0.74
164,1425.0,p_anap,Denizli,1991,0.289611864129,1.037569235e-05,0.397228133107,0.400582017297,0.44
165,1425.0,p_rp,Denizli,1991,0.00795714928066,1.64049999141e-11,0.004434615737,0.00627560202864,0.0
166,1425.0,p_shp,Denizli,1991,0.279587168773,1.47782550663e-07,0.318322570423,0.404293917184,0.42
