,Kommun,KommunParty,Lan,N,Party,Race,Year,chisquare-benford-3d,chisquare-benford-mix,chisquare-mean-sim,chisquare-uniform,lilliefors-type-test
192,19.0,,3.0,9.0,p_KD,riksdagsval,2002,,,,,0.0
193,19.0,,3.0,9.0,p_S,riksdagsval,2002,,,,,0.0
194,19.0,,3.0,9.0,p_V,riksdagsval,2002,,,,,0.0
195,19.0,,3.0,9.0,p_other,riksdagsval,2002,,,,,0.0
196,30.0,,3.0,8.0,p_M,riksdagsval,2002,,,,,0.0
197,30.0,,3.0,8.0,p_C,riksdagsval,2002,,,,,0.0
198,30.0,,3.0,8.0,p_FP,riksdagsval,2002,,,,,0.0
199,30.0,,3.0,8.0,p_KD,riksdagsval,2002,,,,,0.0
200,30.0,,3.0,8.0,p_S,riksdagsval,2002,,,,,0.0
201,30.0,,3.0,8.0,p_V,riksdagsval,2002,,,,,0.0
202,30.0,,3.0,8.0,p_other,riksdagsval,2002,,,,,0.0
203,60.0,,3.0,14.0,p_M,riksdagsval,2002,,,,,0.0
204,60.0,,3.0,14.0,p_C,riksdagsval,2002,,,,,0.0
205,60.0,,3.0,14.0,p_FP,riksdagsval,2002,,,,,0.0
206,60.0,,3.0,14.0,p_KD,riksdagsval,2002,,,,,0.0
207,60.0,,3.0,14.0,p_S,riksdagsval,2002,,,,,0.0
208,60.0,,3.0,14.0,p_V,riksdagsval,2002,,,,,0.0
209,60.0,,3.0,14.0,p_other,riksdagsval,2002,,,,,0.0
210,80.0,,3.0,105.0,p_M,riksdagsval,2002,0.8387743184578033,0.883332126551,0.790432339212,0.817397828585,0.42
211,80.0,,3.0,105.0,p_C,riksdagsval,2002,0.2626710596805293,0.103672032682,0.214862171692,0.282293585491,0.11
212,80.0,,3.0,105.0,p_FP,riksdagsval,2002,0.20995128316839734,0.226158450358,0.197216597538,0.200217041205,0.555
213,80.0,,3.0,105.0,p_KD,riksdagsval,2002,0.8604857869994615,0.863912278891,0.885365780431,0.85058633889,0.81
214,80.0,,3.0,105.0,p_S,riksdagsval,2002,0.6299687647530322,0.629968764753,0.65446622147,0.627204301557,0.635
215,80.0,,3.0,105.0,p_V,riksdagsval,2002,0.11173145398465321,0.130224735062,0.0891346584295,0.104874301608,0.005
216,80.0,,3.0,105.0,p_other,riksdagsval,2002,0.023012699055189375,0.0412558885671,0.0314128235219,0.0200847226372,0.045
217,81.0,,3.0,23.0,p_M,riksdagsval,2002,,,,,0.0
218,81.0,,3.0,23.0,p_C,riksdagsval,2002,0.9454227754819761,0.963867015928,0.936830957853,0.939986863633,0.67
219,81.0,,3.0,23.0,p_FP,riksdagsval,2002,,,,,0.0
220,81.0,,3.0,23.0,p_KD,riksdagsval,2002,,,,,0.0
221,81.0,,3.0,23.0,p_S,riksdagsval,2002,0.47664566360034544,0.481920558691,0.483613799324,0.461694973326,0.285
222,81.0,,3.0,23.0,p_V,riksdagsval,2002,,,,,0.0
223,81.0,,3.0,23.0,p_other,riksdagsval,2002,,,,,0.0
224,82.0,,3.0,17.0,p_M,riksdagsval,2002,,,,,0.0
225,82.0,,3.0,17.0,p_C,riksdagsval,2002,,,,,0.0
226,82.0,,3.0,17.0,p_FP,riksdagsval,2002,,,,,0.0
227,82.0,,3.0,17.0,p_KD,riksdagsval,2002,,,,,0.0
228,82.0,,3.0,17.0,p_S,riksdagsval,2002,0.9355126561689001,0.933988374526,0.936398923702,0.936368672805,0.625
229,82.0,,3.0,17.0,p_V,riksdagsval,2002,,,,,0.0
230,82.0,,3.0,17.0,p_other,riksdagsval,2002,,,,,0.0
231,28.0,,4.0,9.0,p_M,riksdagsval,2002,,,,,0.0
232,28.0,,4.0,9.0,p_C,riksdagsval,2002,,,,,0.0
233,28.0,,4.0,9.0,p_FP,riksdagsval,2002,,,,,0.0
234,28.0,,4.0,9.0,p_KD,riksdagsval,2002,,,,,0.0
235,28.0,,4.0,9.0,p_S,riksdagsval,2002,,,,,0.0
236,28.0,,4.0,9.0,p_V,riksdagsval,2002,,,,,0.0
237,28.0,,4.0,9.0,p_other,riksdagsval,2002,,,,,0.0
238,61.0,,4.0,7.0,p_M,riksdagsval,2002,,,,,0.0
239,61.0,,4.0,7.0,p_C,riksdagsval,2002,,,,,0.0
240,61.0,,4.0,7.0,p_FP,riksdagsval,2002,,,,,0.0
241,61.0,,4.0,7.0,p_KD,riksdagsval,2002,,,,,0.0
242,61.0,,4.0,7.0,p_S,riksdagsval,2002,,,,,0.0
243,61.0,,4.0,7.0,p_V,riksdagsval,2002,,,,,0.0
244,61.0,,4.0,7.0,p_other,riksdagsval,2002,,,,,0.0
245,80.0,,4.0,32.0,p_M,riksdagsval,2002,0.8960258941006309,0.894879902493,0.848804554319,0.894201095196,0.345
246,80.0,,4.0,32.0,p_C,riksdagsval,2002,0.7107862166893888,0.548578255694,0.733107335483,0.727345505977,0.4
247,80.0,,4.0,32.0,p_FP,riksdagsval,2002,0.3277194550004583,0.394905916972,0.384950044639,0.311542340562,0.28
248,80.0,,4.0,32.0,p_KD,riksdagsval,2002,0.7128771981453277,0.606766115796,0.738744078026,0.727345505977,0.805
249,80.0,,4.0,32.0,p_S,riksdagsval,2002,,,,,0.0
250,80.0,,4.0,32.0,p_V,riksdagsval,2002,0.5472973849336878,0.618643171335,0.525976546578,0.53414621691,0.555
251,80.0,,4.0,32.0,p_other,riksdagsval,2002,0.23974892974641498,0.314685527248,0.209856981984,0.227772842619,0.29
252,81.0,,4.0,8.0,p_M,riksdagsval,2002,,,,,0.0
253,81.0,,4.0,8.0,p_C,riksdagsval,2002,,,,,0.0
254,81.0,,4.0,8.0,p_FP,riksdagsval,2002,,,,,0.0
255,81.0,,4.0,8.0,p_KD,riksdagsval,2002,,,,,0.0
256,81.0,,4.0,8.0,p_S,riksdagsval,2002,,,,,0.0
