,Lan,N,Party,Race,Year,chisquare-benford-3d,chisquare-benford-mix,chisquare-mean-sim,chisquare-uniform,lilliefors-type-test
165,4.0,183.0,p_SD,riksdagsval,2010,0.0175166874612,0.00488874522429,0.0176145731618,0.0185640695063,0.02
166,4.0,183.0,p_other,riksdagsval,2010,0.956739078735,0.730231860398,0.967912038115,0.95695656003,0.935
167,5.0,284.0,p_M,riksdagsval,2010,0.349168581731,0.328227560453,0.339305987906,0.378536959577,0.075
168,5.0,284.0,p_C,riksdagsval,2010,0.46601075749,0.332836324557,0.491692611068,0.454344762596,0.545
169,5.0,284.0,p_FP,riksdagsval,2010,0.46100791654,0.562270201478,0.510955213113,0.428223589842,0.72
170,5.0,284.0,p_KD,riksdagsval,2010,0.26080186139,0.0910059767658,0.262209172576,0.266178182356,0.495
171,5.0,284.0,p_S,riksdagsval,2010,0.839353657479,0.823897317062,0.844713875318,0.868362960134,0.78
172,5.0,284.0,p_V,riksdagsval,2010,0.365391066607,0.0363090598723,0.314682857098,0.402936685248,0.1
173,5.0,284.0,p_MP,riksdagsval,2010,0.420770400341,0.133655101358,0.419066555601,0.441183691935,0.14
174,5.0,284.0,p_SD,riksdagsval,2010,0.191250418147,0.00733509331898,0.248230500705,0.230501852041,0.19
175,5.0,284.0,p_other,riksdagsval,2010,0.430425770884,0.0747840442674,0.438446423049,0.454344762596,0.5
176,6.0,222.0,p_M,riksdagsval,2010,0.513542109161,0.529724939995,0.451713842194,0.489464434428,0.42
177,6.0,222.0,p_C,riksdagsval,2010,0.0838715683176,0.0227908332476,0.107489911133,0.092682840026,0.25
178,6.0,222.0,p_FP,riksdagsval,2010,0.178807911804,0.12831672894,0.167765228284,0.173065085293,0.155
179,6.0,222.0,p_KD,riksdagsval,2010,0.843781038608,0.783239202307,0.868417941662,0.847449357983,0.95
180,6.0,222.0,p_S,riksdagsval,2010,0.220744795232,0.206344894283,0.241533950557,0.231133297891,0.23
181,6.0,222.0,p_V,riksdagsval,2010,0.596408721144,0.297466598477,0.625348019038,0.598721532836,0.335
182,6.0,222.0,p_MP,riksdagsval,2010,0.659552478817,0.327582308169,0.663705562529,0.673646952222,0.28
183,6.0,222.0,p_SD,riksdagsval,2010,0.266626342739,0.375670909911,0.253204009077,0.242144131892,0.395
184,6.0,222.0,p_other,riksdagsval,2010,0.952776470908,0.0872881084394,0.962207367243,0.969412285173,0.98
185,7.0,112.0,p_M,riksdagsval,2010,0.306843961026,0.290300067534,0.315846155895,0.339044464513,0.115
186,7.0,112.0,p_C,riksdagsval,2010,0.355437135156,0.183618949253,0.354122750433,0.383214563943,0.235
187,7.0,112.0,p_FP,riksdagsval,2010,0.788500240452,0.67935988288,0.788539383018,0.788728005521,0.47
188,7.0,112.0,p_KD,riksdagsval,2010,0.559647735075,0.347788221075,0.567891028825,0.570498918019,0.61
189,7.0,112.0,p_S,riksdagsval,2010,0.584873341216,0.571585612739,0.546326433625,0.607399210095,0.785
190,7.0,112.0,p_V,riksdagsval,2010,0.200865789425,0.26120684797,0.177437607669,0.188381960741,0.105
191,7.0,112.0,p_MP,riksdagsval,2010,0.857193559189,0.814324773975,0.871321454456,0.85257367296,0.695
192,7.0,112.0,p_SD,riksdagsval,2010,0.925897098027,0.681549823019,0.945028593395,0.9392361279,0.95
193,7.0,112.0,p_other,riksdagsval,2010,0.325181450795,0.151601648833,0.385356137444,0.325095905822,0.175
194,8.0,179.0,p_M,riksdagsval,2010,0.0946187824586,0.107903473093,0.080650892208,0.0815715683783,0.11
195,8.0,179.0,p_C,riksdagsval,2010,0.210272686672,0.0650632316137,0.229848599585,0.232535202102,0.205
196,8.0,179.0,p_FP,riksdagsval,2010,0.544768233807,0.495562932022,0.532687232299,0.535836083355,0.625
197,8.0,179.0,p_KD,riksdagsval,2010,0.78820656207,0.483195013586,0.768447165334,0.796885078741,0.955
198,8.0,179.0,p_S,riksdagsval,2010,0.214313867773,0.178425635929,0.278205426031,0.253430802193,0.475
199,8.0,179.0,p_V,riksdagsval,2010,0.41286732175,0.272360178652,0.405522297947,0.407917615801,0.395
200,8.0,179.0,p_MP,riksdagsval,2010,0.777385525917,0.290988734624,0.797812478115,0.807257486191,0.735
201,8.0,179.0,p_SD,riksdagsval,2010,0.507911635603,0.106913630642,0.487864166592,0.547145266588,0.5
202,8.0,179.0,p_other,riksdagsval,2010,0.430300706377,0.422219476504,0.471642824206,0.417913335182,0.61
203,10.0,100.0,p_M,riksdagsval,2010,0.418606110934,0.406403886118,0.362991591336,0.437274188914,0.555
204,10.0,100.0,p_C,riksdagsval,2010,0.881998193706,0.770095830577,0.856418192492,0.883171378424,0.825
205,10.0,100.0,p_FP,riksdagsval,2010,0.0125525144526,0.024521620144,0.00631300885412,0.0109880161452,0.01
206,10.0,100.0,p_KD,riksdagsval,2010,0.0229369840937,0.0158243743107,0.0262041460373,0.0235450327708,0.06
207,10.0,100.0,p_S,riksdagsval,2010,0.79409562283,0.776205935566,0.807875158857,0.816536797597,0.735
208,10.0,100.0,p_V,riksdagsval,2010,0.148505193846,0.326640167213,0.149898283615,0.129619591333,0.245
209,10.0,100.0,p_MP,riksdagsval,2010,0.706669200306,0.649241246241,0.669180337709,0.699312570866,0.85
210,10.0,100.0,p_SD,riksdagsval,2010,0.915151565348,0.831745691946,0.919697279227,0.924075930127,0.81
211,10.0,100.0,p_other,riksdagsval,2010,0.373119954925,0.416026215315,0.277547355878,0.350485212323,0.3
212,12.0,774.0,p_M,riksdagsval,2010,0.894682606783,0.899384416965,0.858497238937,0.873430840406,0.85
213,12.0,774.0,p_C,riksdagsval,2010,0.0777863011796,0.00502441903681,0.0650522461745,0.0701906429443,0.115
214,12.0,774.0,p_FP,riksdagsval,2010,0.677653872195,0.188507298681,0.623058855046,0.67659905337,0.57
215,12.0,774.0,p_KD,riksdagsval,2010,0.0619812500835,1.91628297682e-05,0.115095930113,0.0797444824897,0.02
216,12.0,774.0,p_S,riksdagsval,2010,0.644772585237,0.697900570012,0.496646038425,0.582675606348,0.335
217,12.0,774.0,p_V,riksdagsval,2010,0.449523854766,0.0253436285586,0.423117967623,0.464160520293,0.36
218,12.0,774.0,p_MP,riksdagsval,2010,0.850858445548,0.602797533478,0.829707745579,0.809571002017,0.82
219,12.0,774.0,p_SD,riksdagsval,2010,0.548367673617,0.0510278515595,0.662273826097,0.641693038651,0.4
220,12.0,774.0,p_other,riksdagsval,2010,0.673272038781,0.0663925388208,0.686609115922,0.663196750209,0.81
221,13.0,185.0,p_M,riksdagsval,2010,0.647645269518,0.651246305402,0.612308477818,0.631491506242,0.735
222,13.0,185.0,p_C,riksdagsval,2010,0.559989575576,0.834561503165,0.498549006773,0.499162630476,0.66
223,13.0,185.0,p_FP,riksdagsval,2010,0.549070571609,0.491276254167,0.494511442592,0.542337501386,0.515
224,13.0,185.0,p_KD,riksdagsval,2010,0.108943036587,0.279128168102,0.0892540396624,0.0894618653042,0.255
225,13.0,185.0,p_S,riksdagsval,2010,0.857502630498,0.865354822016,0.860606206716,0.84362860884,0.78
226,13.0,185.0,p_V,riksdagsval,2010,0.758013521047,0.144810032098,0.830561409681,0.805169428812,0.94
227,13.0,185.0,p_MP,riksdagsval,2010,0.984515061684,0.870603223402,0.988060741408,0.985847530882,0.985
228,13.0,185.0,p_SD,riksdagsval,2010,0.989804115606,0.822969560944,0.982766550744,0.991887818155,0.96
229,13.0,185.0,p_other,riksdagsval,2010,0.537950029311,0.4681544721,0.520615854019,0.520587399122,0.375
230,14.0,1025.0,p_M,riksdagsval,2010,0.336286856215,0.404464229343,0.254228585932,0.254284678568,0.12
